,id,price,ms,rooms,floor,lat,lon,air_conditioning,wardrobes,lift,exterior,garden,swimming_pool,terrace,storeroom,garage,district,subdistrict,share_loc,needs_renovating,good_condition,new_dev,pricems
107,36324165.0,74700.0,41,2.0,1,40.4577296,-3.7081127,0,0,0,1,0,0,0,0,0, Tetu\xe1n , Berruguete ,1,0,1,0,1821.95121951
108,30249525.0,160000.0,109,3.0,3,40.3722433,-3.7174337,0,0,1,1,0,0,0,0,0, Usera , Orcasitas ,1,0,1,0,1467.88990826
109,36225771.0,230000.0,95,3.0,6,40.3917778,-3.7544183,0,0,1,0,1,0,0,0,0, Latina , Aluche ,0,0,1,0,2421.05263158
110,35185502.0,140000.0,90,2.0,2,40.4054075,-3.7389583,0,0,0,1,0,0,0,0,0, Latina , Puerta del \xc1ngel ,0,0,1,0,1555.55555556
113,35750922.0,225000.0,131,2.0,5,40.3784034,-3.6342033,0,0,1,1,0,0,0,0,1, Puente de Vallecas , Palomeras sureste ,0,0,1,0,1717.55725191
114,34357056.0,175000.0,96,2.0,2,40.3662859,-3.6012658,1,1,1,1,0,0,0,1,1, Villa de Vallecas , Ensanche de Vallecas - La Gavia ,0,0,1,0,1822.91666667
115,35942656.0,69900.0,62,2.0,Ground floor,40.3936626,-3.7277778,0,0,0,1,0,0,0,0,0, Carabanchel , San Isidro ,0,0,1,0,1127.41935484
116,36151008.0,595000.0,170,4.0,5,40.4010224,-3.6806504,1,1,1,1,0,0,1,0,1, Retiro , Pac\xedfico ,0,0,1,0,3500.0
117,1887507.0,190000.0,47,1.0,Ground floor,40.4356853,-3.7025233,0,1,1,0,0,0,0,0,0, Chamber\xed , Trafalgar ,1,0,1,0,4042.55319149
118,32079674.0,103000.0,80,3.0,4,40.3739382,-3.6923045,0,1,0,1,0,0,1,0,0, Usera , San Ferm\xedn ,1,0,1,0,1287.5
119,1600203.0,690000.0,214,7.0,1,40.4549282,-3.6977248,0,1,1,1,1,0,1,1,0, Tetu\xe1n , Cuatro Caminos ,1,0,1,0,3224.29906542
120,34179299.0,115000.0,105,3.0,1,40.3795685,-3.7397772,0,0,0,1,0,0,1,0,0, Carabanchel , Puerta Bonita ,0,1,0,0,1095.23809524
121,35178537.0,260000.0,64,1.0,2,40.4370552,-3.6791428,0,1,1,0,0,0,1,0,0, Salamanca , Lista ,0,1,0,0,4062.5
122,35658482.0,100000.0,53,1.0,1,40.4301619,-3.639715,0,1,0,1,1,0,1,1,0, Ciudad Lineal , Pueblo Nuevo ,0,0,1,0,1886.79245283
123,36440980.0,486000.0,86,2.0,3,40.4469097,-3.7007713,0,0,1,1,0,0,1,0,0, Tetu\xe1n , Cuatro Caminos ,1,0,1,0,5651.1627907
124,36123321.0,325000.0,110,3.0,7,40.397938,-3.7004738,1,0,1,1,0,0,1,1,0, Arganzuela , Chopera ,0,1,0,0,2954.54545455
125,36327898.0,350000.0,87,2.0,1,40.5007752,-3.6925267,1,0,1,1,0,1,0,1,0, Fuencarral , Tres Olivos - Valverde ,0,0,1,0,4022.98850575
126,35031111.0,1107700.0,264,6.0,3,40.4985501,-3.7079688,0,0,1,1,0,1,1,0,0, Fuencarral , Mirasierra ,1,0,0,1,4195.83333333
127,36252585.0,440000.0,130,4.0,4,40.482152,-3.6928981,0,1,1,1,1,1,1,0,1, Fuencarral , La Paz ,0,1,0,0,3384.61538462
128,36406240.0,232913.0,124,4.0,1,40.3687426,-3.6123583,0,0,1,1,1,1,1,0,1, Villa de Vallecas , Ensanche de Vallecas - La Gavia ,1,0,0,1,1878.33064516
129,36027163.0,240000.0,96,3.0,6,40.4791834,-3.6420484,0,0,1,0,0,0,0,0,0, Hortaleza , Pinar del Rey ,0,0,1,0,2500.0
130,30279769.0,309900.0,140,4.0,7,40.40808,-3.7455,0,1,1,1,1,0,1,1,1, Latina , Lucero ,1,0,1,0,2213.57142857
131,35572762.0,215000.0,115,4.0,Ground floor,40.4785075,-3.6454499,0,1,1,1,1,0,1,1,0, Hortaleza , Pinar del Rey ,0,1,0,0,1869.56521739
132,33850462.0,1550000.0,193,3.0,1,40.4508434,-3.6205567,0,0,1,0,0,1,0,1,1, Hortaleza , Palomas ,0,0,1,0,8031.0880829
133,35851592.0,1075000.0,167,3.0,3,40.4670442,-3.6763272,1,1,1,1,1,1,0,1,1, Chamart\xedn , Castilla ,0,0,1,0,6437.1257485
134,35554335.0,275000.0,67,2.0,3,40.427214,-3.707509,1,1,0,1,0,0,0,0,0, Centro , Malasa\xf1a-Universidad ,1,0,1,0,4104.47761194
135,25328745.0,800000.0,265,4.0,3,40.4757129,-3.7228082,0,1,1,1,1,1,1,1,1, Fuencarral , Pe\xf1agrande ,0,0,1,0,3018.86792453
136,29653670.0,595000.0,233,7.0,5,40.4677873,-3.7293245,0,0,1,1,1,1,0,0,0, Moncloa , Ciudad Universitaria ,0,0,1,0,2553.64806867
